av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,vs,corrected_vs,squared_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,ttr,corrected_ttr,root_ttr,log_ttr,uber_ttr,d,lv,vvi,squared_vv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,punct_mistakes_pp,punct_mistakes_because,punct_mistakes_but,punct_mistakes_compare,million_mistake,class,sum_punct
4.83,9,2,5,4,12,18,380,4.0,21.11,41,24,17,7,16,15,19,4,5,21.94,21.11,26.21,26.35,0.43,0.1,0.09,0.49,0.47,0.77,0.09,0.02,0.13,159,0.42,5.77,8.16,0.85,239.58,0.83,0.42,0.74,28.7,3.79,0.24,0.13,0.12,0.07,0.19,0.02,0.15,0.1,0.01,4.25,0.3,0.6,25,8,11,0,11,4,21,9,3,4,0,0,0,1,0,0,6,1
4.83,8,3,5,1,6,12,264,8.58,22.0,26,19,7,11,14,11,17,3,2,21.73,19.76,25.98,27.91,0.5,0.08,0.03,0.13,0.03,0.71,0.14,0.05,0.09,140,0.53,6.09,8.62,0.89,191.89,0.84,0.53,0.79,18.24,3.02,0.17,0.18,0.15,0.08,0.23,0.02,0.08,0.03,0.02,5.75,0.38,0.62,12,3,10,0,4,5,12,10,2,3,2,0,0,1,0,0,6,1
4.43,6,4,2,0,2,7,164,6.86,23.43,13,11,2,4,9,10,5,2,0,17.67,20.91,26.42,22.17,0.43,0.13,0.0,0.0,0.0,0.63,0.08,0.05,0.24,88,0.54,4.86,6.87,0.88,450.97,0.78,0.54,0.92,11.08,2.35,0.17,0.1,0.13,0.14,0.27,0.06,0.19,0.03,0.03,3.75,0.46,0.62,5,0,7,0,3,1,11,6,1,1,3,0,0,0,0,0,6,0
8.43,14,4,2,10,5,7,201,2.43,28.71,27,12,15,4,7,10,17,0,1,21.83,25.32,30.68,26.17,0.46,0.1,0.0,0.0,0.0,0.74,0.06,0.0,0.19,73,0.36,3.64,5.15,0.81,233.05,0.72,0.36,0.3,2.13,1.03,0.08,0.07,0.11,0.1,0.21,0.19,0.02,0.07,0.0,3.5,0.61,0.57,2,2,9,0,5,0,6,3,1,0,2,0,0,2,0,0,6,2
4.09,6,2,3,3,3,11,229,6.55,20.82,21,16,5,4,14,9,16,0,2,15.2,14.62,19.87,20.5,0.48,0.16,0.14,0.45,0.41,0.64,0.07,0.01,0.27,124,0.54,5.79,8.19,0.89,233.05,0.82,0.54,0.77,13.14,2.56,0.16,0.17,0.15,0.14,0.28,0.06,0.04,0.0,0.06,3.75,0.73,0.27,5,1,6,0,1,0,22,9,1,4,2,0,1,2,1,0,7,4
3.36,6,2,1,2,2,11,229,5.73,20.82,13,9,4,3,20,8,12,2,0,20.9,21.29,25.91,25.4,0.33,0.25,0.08,0.2,0.08,0.62,0.04,0.03,0.3,103,0.45,4.81,6.81,0.85,379.39,0.75,0.45,0.92,10.08,2.25,0.15,0.12,0.12,0.08,0.2,0.05,0.02,0.02,0.12,4.0,0.25,1.08,5,1,5,0,4,3,4,6,2,0,9,0,0,0,0,0,6,0
5.67,7,5,1,2,3,6,215,11.67,35.83,17,12,5,3,17,12,22,1,0,27.8,27.48,32.78,33.2,0.45,0.18,0.0,0.0,0.0,0.65,0.09,0.01,0.25,62,0.29,2.99,4.23,0.77,159.23,0.65,0.29,1.0,6.0,1.73,0.06,0.07,0.11,0.07,0.19,0.0,0.2,0.18,0.02,1.75,0.67,2.33,1,0,5,0,2,7,19,5,0,0,3,0,0,0,0,0,7,0
5.1,9,3,4,2,7,10,254,8.2,25.4,25,17,8,10,16,12,16,2,3,23.33,21.55,28.18,30.56,0.5,0.12,0.07,0.26,0.14,0.7,0.1,0.04,0.16,139,0.55,6.17,8.72,0.89,223.49,0.86,0.55,0.86,21.55,3.28,0.2,0.19,0.12,0.1,0.22,0.04,0.04,0.06,0.06,2.75,0.45,0.45,10,3,6,0,3,2,12,3,1,3,3,0,0,2,0,0,6,2
3.7,9,1,3,3,12,20,348,4.2,17.4,46,27,19,13,8,14,8,2,2,17.16,17.1,21.25,21.0,0.44,0.08,0.09,0.46,0.43,0.78,0.09,0.02,0.12,145,0.42,5.5,7.77,0.85,168.23,0.82,0.42,0.62,22.34,3.34,0.24,0.11,0.09,0.11,0.2,0.04,0.03,0.04,0.04,3.5,0.48,0.33,17,6,9,0,6,3,21,10,3,0,1,0,0,1,0,0,6,1
4.0,7,2,4,2,0,10,212,8.6,21.2,15,13,2,3,12,13,12,4,1,16.78,17.55,21.99,20.89,0.35,0.08,0.08,0.2,0.08,0.58,0.04,0.06,0.32,82,0.39,3.98,5.63,0.82,142.19,0.75,0.39,0.75,6.75,1.84,0.12,0.08,0.16,0.04,0.2,0.0,0.2,0.08,0.02,2.5,0.42,0.92,2,1,2,0,5,9,3,2,0,0,1,0,0,0,0,0,6,0
5.29,7,3,2,0,8,14,250,4.57,17.86,23,18,5,16,12,8,20,0,3,12.92,12.16,17.38,18.08,0.47,0.11,0.1,0.39,0.3,0.75,0.1,0.03,0.12,118,0.47,5.28,7.46,0.86,169.1,0.8,0.47,0.73,16.13,2.84,0.19,0.19,0.16,0.01,0.17,0.04,0.09,0.04,0.02,4.25,0.3,0.53,15,4,7,0,4,4,6,1,0,4,1,0,0,0,0,0,6,0
4.64,14,3,5,0,0,11,244,6.82,22.18,14,14,0,3,20,17,18,5,0,18.9,21.78,27.42,24.0,0.4,0.19,0.38,1.06,2.25,0.66,0.07,0.05,0.23,120,0.49,5.43,7.68,0.87,355.14,0.76,0.49,0.94,14.06,2.65,0.15,0.14,0.18,0.08,0.27,0.04,0.11,0.09,0.07,5.0,0.25,0.69,3,1,9,0,8,1,12,6,3,2,1,0,0,0,0,1,7,0
4.4,8,2,5,0,5,15,347,8.47,23.13,36,27,9,13,19,15,21,1,1,22.43,24.5,30.97,28.29,0.43,0.14,0.08,0.35,0.24,0.72,0.08,0.02,0.18,161,0.46,6.11,8.64,0.87,243.63,0.83,0.46,0.76,21.19,3.25,0.19,0.16,0.16,0.06,0.22,0.02,0.16,0.14,0.05,3.25,0.49,0.51,15,2,14,0,1,3,13,15,2,2,4,0,0,1,0,0,6,1
3.89,6,2,0,2,1,9,207,4.22,23.0,14,11,3,3,10,10,7,0,1,17.62,20.85,25.93,22.5,0.35,0.08,0.0,0.0,0.0,0.52,0.08,0.02,0.38,105,0.51,5.16,7.3,0.87,335.6,0.78,0.51,1.0,13.0,2.55,0.18,0.12,0.11,0.15,0.26,0.07,0.16,0.02,0.07,3.0,0.46,0.62,5,1,6,0,1,6,8,7,2,1,3,0,0,0,0,0,6,0
5.0,8,4,4,0,3,6,200,7.33,33.33,7,5,2,7,16,13,12,3,0,32.2,29.24,35.32,37.4,0.34,0.23,0.17,0.41,0.33,0.48,0.07,0.04,0.4,87,0.44,4.35,6.15,0.84,443.69,0.74,0.44,0.83,8.33,2.04,0.14,0.1,0.14,0.06,0.2,0.0,0.05,0.0,0.0,4.0,0.5,0.08,1,2,1,0,3,5,10,4,1,0,10,0,0,0,0,0,6,0
4.67,7,3,3,2,7,9,248,7.44,27.56,20,12,8,5,12,15,19,3,0,22.25,26.67,32.26,27.25,0.41,0.2,0.0,0.0,0.0,0.68,0.04,0.06,0.22,90,0.36,4.04,5.72,0.82,465.64,0.75,0.36,0.55,3.27,1.28,0.06,0.08,0.12,0.1,0.22,0.05,0.0,0.03,0.0,2.75,0.27,1.91,5,0,11,0,6,0,4,10,0,0,6,0,0,0,0,0,6,0
4.0,5,2,2,0,5,10,200,4.3,20.0,18,13,5,2,5,14,15,1,0,17.44,18.35,22.46,21.11,0.42,0.08,0.0,0.0,0.0,0.65,0.1,0.05,0.2,92,0.46,4.6,6.51,0.85,245.22,0.79,0.46,0.64,5.79,1.7,0.11,0.08,0.18,0.13,0.31,0.16,0.02,0.02,0.02,4.5,0.36,1.0,2,1,13,0,7,0,6,5,1,0,5,0,0,0,0,0,6,0
3.24,9,0,3,4,12,29,512,4.9,17.66,50,33,17,13,21,14,31,3,1,15.21,15.13,19.98,19.68,0.5,0.1,0.07,0.38,0.29,0.7,0.1,0.02,0.18,215,0.42,6.72,9.5,0.86,207.88,0.84,0.42,0.69,26.25,3.62,0.15,0.14,0.14,0.08,0.22,0.01,0.05,0.02,0.06,2.0,0.36,0.56,22,5,15,0,5,3,27,15,2,6,3,0,1,2,0,0,6,3
4.69,9,1,9,3,9,16,325,3.5,20.31,40,26,14,5,2,12,19,1,6,16.47,16.67,22.99,22.8,0.48,0.1,0.1,0.51,0.51,0.76,0.11,0.03,0.1,154,0.47,6.04,8.54,0.87,198.47,0.85,0.47,0.76,27.94,3.74,0.24,0.14,0.13,0.1,0.23,0.07,0.1,0.1,0.06,4.0,0.35,0.57,29,3,5,0,5,16,14,9,3,3,3,0,0,0,0,0,6,0
3.67,5,2,0,1,0,12,192,8.58,16.0,13,12,1,0,21,4,9,0,0,13.55,12.83,15.59,16.55,0.31,0.12,0.0,0.0,0.0,0.55,0.04,0.03,0.38,82,0.43,4.18,5.92,0.84,407.73,0.7,0.43,0.83,4.17,1.44,0.08,0.11,0.19,0.12,0.31,0.05,0.34,0.02,0.05,2.5,1.0,1.17,0,0,4,0,0,8,3,3,1,0,2,0,0,0,0,0,6,0
3.56,9,0,4,5,3,16,287,4.31,17.94,32,24,8,2,11,10,12,2,3,15.93,18.26,23.5,20.4,0.43,0.12,0.09,0.36,0.26,0.77,0.09,0.01,0.13,130,0.45,5.43,7.67,0.86,216.97,0.83,0.45,0.71,17.86,2.99,0.2,0.11,0.12,0.12,0.24,0.09,0.05,0.02,0.03,2.0,0.37,0.54,16,4,6,0,0,3,15,9,2,1,2,0,1,0,0,0,6,1
5.06,10,2,3,10,6,18,393,5.56,21.83,42,25,17,21,10,20,19,2,1,21.76,20.53,25.45,27.29,0.44,0.15,0.16,0.8,1.28,0.67,0.09,0.01,0.23,165,0.42,5.89,8.32,0.85,217.62,0.83,0.42,0.8,32.0,4.0,0.23,0.12,0.11,0.07,0.18,0.05,0.08,0.09,0.01,2.75,0.4,0.52,14,6,11,0,13,9,21,8,1,4,5,0,0,2,0,0,6,2
4.93,8,3,3,3,3,15,314,8.33,20.93,20,15,5,15,25,18,36,3,1,16.36,16.42,23.05,22.86,0.54,0.18,0.27,0.9,1.64,0.6,0.13,0.05,0.22,170,0.54,6.78,9.59,0.89,311.94,0.86,0.54,0.91,18.18,3.02,0.12,0.22,0.2,0.07,0.27,0.03,0.25,0.14,0.08,5.5,0.45,0.68,8,2,8,0,7,5,16,5,1,2,5,1,0,0,0,0,6,1
6.14,13,2,8,4,7,14,440,5.43,31.43,34,22,12,10,29,32,16,6,2,22.85,25.59,35.26,32.23,0.38,0.13,0.12,0.49,0.47,0.78,0.08,0.03,0.12,135,0.31,4.55,6.44,0.81,202.87,0.78,0.31,0.76,19.88,3.15,0.16,0.09,0.09,0.05,0.14,0.03,0.09,0.04,0.05,5.25,0.24,1.09,17,7,8,0,9,8,18,2,2,3,0,0,0,0,0,0,6,0
3.83,6,0,2,1,2,6,181,17.17,30.17,16,13,3,3,11,10,5,2,0,27.0,32.39,35.9,30.2,0.34,0.15,0.08,0.2,0.08,0.64,0.04,0.02,0.29,65,0.36,3.42,4.83,0.8,386.2,0.69,0.36,0.69,6.23,1.77,0.15,0.1,0.07,0.07,0.13,0.03,0.06,0.03,0.06,3.5,0.38,0.85,1,0,10,0,7,2,7,3,1,1,2,1,0,0,0,0,6,1
4.87,17,0,2,6,11,15,368,5.0,24.53,43,25,18,10,18,12,13,3,0,25.43,25.15,31.53,30.93,0.43,0.07,0.0,0.0,0.0,0.76,0.1,0.02,0.12,173,0.47,6.38,9.02,0.87,204.42,0.86,0.47,0.78,27.22,3.69,0.22,0.16,0.13,0.08,0.2,0.01,0.08,0.0,0.05,4.25,0.44,0.58,19,3,14,0,6,7,14,10,3,5,4,1,0,0,0,0,6,1
4.27,8,2,10,0,2,11,187,4.55,17.0,11,8,3,3,12,16,7,10,0,12.7,12.54,16.01,17.0,0.43,0.11,0.06,0.17,0.06,0.5,0.14,0.04,0.32,72,0.39,3.72,5.27,0.82,173.59,0.72,0.39,0.41,2.88,1.2,0.09,0.11,0.08,0.08,0.15,0.03,0.05,0.03,0.0,2.0,0.12,0.53,3,0,5,0,12,0,12,2,0,0,0,0,0,0,0,0,6,0
4.73,11,0,6,5,5,15,377,5.73,25.13,36,23,13,14,16,21,16,2,6,20.21,21.1,28.08,27.36,0.47,0.08,0.09,0.41,0.34,0.78,0.09,0.05,0.08,170,0.45,6.19,8.76,0.87,226.46,0.85,0.45,0.74,26.06,3.61,0.2,0.15,0.12,0.07,0.19,0.0,0.07,0.04,0.0,3.5,0.32,0.49,26,4,9,0,2,5,16,6,1,2,6,0,0,0,0,0,7,0
6.0,9,2,11,5,10,14,372,10.29,26.57,35,17,18,6,20,23,29,5,2,22.38,21.49,28.1,29.38,0.5,0.15,0.02,0.11,0.02,0.7,0.12,0.07,0.1,158,0.42,5.79,8.19,0.86,282.59,0.84,0.42,0.65,18.23,3.02,0.15,0.12,0.12,0.09,0.21,0.1,0.03,0.02,0.16,4.75,0.35,0.47,10,8,11,0,8,4,16,7,1,4,4,1,0,0,0,0,6,1
4.12,8,2,4,2,7,17,337,3.65,19.82,36,27,9,13,11,19,32,1,3,17.38,18.53,24.16,22.38,0.48,0.14,0.06,0.24,0.11,0.74,0.07,0.03,0.16,153,0.45,5.89,8.33,0.86,227.51,0.84,0.45,0.64,14.69,2.71,0.14,0.15,0.12,0.09,0.21,0.04,0.03,0.11,0.04,4.0,0.42,0.64,16,3,10,0,4,3,14,5,1,6,3,0,1,1,0,0,6,2
3.33,5,2,1,0,1,12,183,5.17,15.25,16,16,0,2,8,15,8,1,0,13.27,13.16,16.18,16.36,0.4,0.07,0.0,0.0,0.0,0.67,0.05,0.06,0.22,85,0.46,4.44,6.28,0.85,177.45,0.78,0.46,0.59,5.88,1.71,0.14,0.09,0.15,0.12,0.27,0.05,0.21,0.1,0.0,3.5,0.53,0.41,3,1,6,0,4,7,8,5,1,0,6,1,0,0,0,0,6,1
3.5,5,2,1,6,3,16,257,4.62,16.06,30,21,9,6,7,14,13,1,0,14.33,14.49,18.04,17.6,0.34,0.02,0.0,0.0,0.0,0.66,0.04,0.02,0.28,100,0.39,4.41,6.24,0.83,151.74,0.78,0.39,0.55,6.55,1.81,0.14,0.07,0.14,0.06,0.2,0.0,0.24,0.04,0.08,3.75,0.68,0.77,6,0,13,0,3,6,7,4,1,4,6,0,0,1,0,0,6,1
3.07,6,0,7,3,1,14,341,6.57,24.36,22,18,4,5,21,24,14,5,0,21.46,23.79,29.67,26.69,0.35,0.16,0.04,0.14,0.04,0.67,0.06,0.01,0.25,119,0.35,4.56,6.44,0.82,283.06,0.73,0.35,0.68,11.56,2.4,0.14,0.08,0.09,0.08,0.17,0.03,0.01,0.03,0.16,3.75,0.36,0.52,8,2,11,0,6,0,12,2,0,2,8,0,0,0,0,0,6,0
5.57,11,2,8,5,10,14,355,6.36,25.36,33,15,18,8,10,19,17,2,3,20.54,21.89,29.39,27.62,0.46,0.12,0.14,0.65,0.84,0.77,0.12,0.01,0.09,165,0.46,6.19,8.76,0.87,208.29,0.86,0.46,0.74,23.81,3.45,0.2,0.15,0.14,0.08,0.22,0.01,0.02,0.02,0.02,6.25,0.23,0.6,23,7,8,0,4,3,22,7,1,4,1,0,0,0,0,0,6,0
4.56,9,2,4,1,2,9,195,8.89,21.67,17,13,4,4,14,11,6,4,0,22.25,22.17,26.05,26.88,0.38,0.07,0.0,0.0,0.0,0.66,0.09,0.06,0.19,95,0.49,4.81,6.8,0.86,207.21,0.8,0.49,0.76,9.94,2.23,0.18,0.1,0.19,0.07,0.26,0.0,0.17,0.07,0.02,4.75,0.35,0.82,5,1,4,0,8,6,7,4,0,0,6,0,0,2,0,0,6,2
5.06,7,2,4,5,10,16,309,5.44,19.31,30,16,14,10,17,10,21,2,3,14.8,15.41,20.06,20.2,0.51,0.13,0.09,0.43,0.36,0.71,0.12,0.04,0.13,145,0.47,5.83,8.25,0.87,223.41,0.83,0.47,0.77,26.27,3.62,0.22,0.13,0.13,0.11,0.24,0.03,0.11,0.06,0.02,2.0,0.41,0.36,16,4,9,0,10,2,13,10,4,2,2,0,0,0,0,0,6,0
4.82,7,3,6,0,7,11,318,8.18,28.91,25,18,7,12,14,15,35,0,3,24.8,24.61,32.96,33.2,0.52,0.12,0.04,0.14,0.04,0.71,0.09,0.03,0.18,144,0.45,5.71,8.08,0.86,234.42,0.82,0.45,0.79,15.04,2.74,0.12,0.16,0.18,0.09,0.27,0.07,0.04,0.02,0.08,4.5,0.33,0.75,13,3,7,0,1,1,25,5,1,4,2,0,0,0,1,0,6,1
3.85,7,2,1,1,5,13,263,6.69,20.23,30,23,7,10,10,13,20,0,3,17.5,20.49,25.32,22.25,0.43,0.21,0.12,0.42,0.36,0.69,0.08,0.04,0.19,118,0.45,5.15,7.28,0.86,235.0,0.8,0.45,0.92,21.16,3.25,0.2,0.12,0.15,0.13,0.28,0.07,0.11,0.13,0.04,3.75,0.2,1.16,15,4,12,0,5,6,10,8,1,1,0,0,0,2,0,0,6,2
4.81,9,0,8,3,10,16,355,6.81,22.19,33,19,14,5,21,14,14,6,4,18.07,17.72,23.71,23.8,0.47,0.1,0.05,0.22,0.1,0.75,0.11,0.04,0.1,151,0.43,5.67,8.01,0.85,177.56,0.84,0.43,0.55,12.6,2.51,0.14,0.14,0.11,0.12,0.23,0.05,0.06,0.03,0.01,4.25,0.38,0.6,18,3,13,0,10,4,17,11,2,5,1,0,0,0,0,0,6,0
4.4,8,2,1,5,11,15,298,3.73,19.87,30,12,18,9,9,17,10,1,3,17.07,17.34,21.6,21.0,0.38,0.14,0.13,0.57,0.66,0.76,0.06,0.01,0.17,111,0.37,4.55,6.43,0.83,216.06,0.77,0.37,0.58,12.74,2.52,0.2,0.1,0.14,0.05,0.2,0.0,0.07,0.07,0.04,2.0,0.42,0.42,19,1,3,0,4,5,14,3,1,4,3,0,2,3,0,0,6,5
4.67,8,0,1,0,3,9,244,7.67,27.11,14,11,3,3,20,11,12,0,0,24.88,24.4,30.35,31.38,0.35,0.07,0.17,0.41,0.33,0.56,0.09,0.03,0.32,115,0.47,5.21,7.36,0.86,381.03,0.81,0.47,0.92,10.08,2.25,0.13,0.09,0.13,0.2,0.33,0.02,0.09,0.06,0.04,3.25,0.42,0.75,0,2,12,0,5,0,6,4,0,1,13,0,0,0,0,0,7,0
3.83,9,2,3,3,5,18,277,6.44,15.39,27,20,7,2,19,8,22,1,3,12.94,13.68,18.02,17.24,0.47,0.06,0.04,0.14,0.04,0.82,0.12,0.03,0.04,116,0.42,4.93,6.97,0.85,212.73,0.8,0.42,0.59,9.48,2.18,0.12,0.15,0.15,0.05,0.21,0.01,0.03,0.04,0.03,2.5,0.33,0.85,20,0,6,0,2,2,13,12,2,2,2,0,1,0,0,0,6,1
6.0,9,5,2,0,3,7,193,6.57,27.57,11,8,3,7,22,15,12,1,1,23.67,25.21,32.0,30.0,0.38,0.18,0.08,0.2,0.08,0.63,0.08,0.03,0.25,95,0.49,4.84,6.84,0.87,256.49,0.79,0.49,0.92,11.08,2.35,0.16,0.15,0.15,0.04,0.19,0.0,0.13,0.07,0.0,3.5,0.54,0.38,3,2,4,0,2,5,4,3,0,1,0,0,0,1,0,4,6,1
4.29,7,2,4,4,6,14,274,5.07,19.57,23,16,7,7,16,17,15,2,2,15.15,15.11,20.6,20.62,0.48,0.12,0.09,0.3,0.18,0.69,0.14,0.06,0.11,129,0.47,5.51,7.79,0.87,392.53,0.78,0.47,0.86,16.41,2.86,0.15,0.19,0.15,0.09,0.24,0.05,0.16,0.03,0.1,2.75,0.45,0.64,9,0,10,0,3,2,12,16,3,3,1,0,0,1,0,0,6,1
7.0,14,5,6,4,7,8,273,8.0,34.12,28,14,14,8,16,15,25,3,2,33.0,28.46,37.63,43.0,0.51,0.07,0.05,0.23,0.11,0.79,0.06,0.03,0.12,140,0.51,5.99,8.47,0.88,322.85,0.86,0.51,0.86,27.68,3.72,0.23,0.16,0.13,0.07,0.2,0.01,0.03,0.07,0.0,4.5,0.46,0.32,13,2,6,0,3,4,16,10,2,1,2,1,1,1,0,0,6,3
5.38,8,3,6,1,5,8,213,6.12,26.62,14,9,5,7,16,17,8,2,2,22.86,21.71,28.53,30.57,0.45,0.2,0.2,0.63,0.8,0.55,0.15,0.07,0.23,109,0.51,5.28,7.47,0.88,490.71,0.79,0.51,0.95,18.05,3.0,0.2,0.19,0.14,0.05,0.19,0.0,0.02,0.02,0.0,5.25,0.4,0.35,3,5,4,0,5,5,12,6,0,1,0,0,0,0,0,3,7,0
6.9,13,3,5,5,12,10,293,7.9,29.3,24,9,15,9,10,8,21,1,9,26.56,26.37,34.96,34.56,0.51,0.07,0.05,0.22,0.1,0.75,0.16,0.03,0.05,132,0.45,5.45,7.71,0.86,177.29,0.81,0.45,0.81,27.52,3.71,0.23,0.14,0.11,0.06,0.18,0.04,0.11,0.09,0.08,3.0,0.19,0.45,26,6,5,0,5,7,9,2,2,5,1,0,0,0,0,0,6,0
5.67,9,3,8,3,4,6,179,3.67,29.83,11,3,8,2,10,8,13,8,0,22.2,25.75,32.65,29.6,0.49,0.14,0.09,0.29,0.17,0.68,0.08,0.08,0.16,88,0.49,4.65,6.58,0.86,230.39,0.79,0.49,0.61,8.52,2.06,0.16,0.12,0.12,0.08,0.2,0.07,0.09,0.0,0.07,3.5,0.26,0.3,2,2,3,0,11,5,7,3,0,1,0,1,0,1,0,0,6,2
5.2,7,4,1,0,1,5,159,13.8,31.8,9,8,1,3,19,11,8,0,1,24.0,25.27,34.62,32.5,0.38,0.1,0.12,0.25,0.12,0.66,0.13,0.06,0.16,74,0.47,4.15,5.87,0.85,237.62,0.76,0.47,0.75,4.5,1.5,0.1,0.17,0.1,0.07,0.16,0.0,0.12,0.0,0.06,2.75,0.25,0.88,2,3,3,0,1,6,6,4,0,3,0,0,0,0,0,1,6,0
8.0,10,5,8,2,5,6,171,3.0,28.5,13,7,6,5,10,9,11,6,1,24.0,22.85,29.79,31.2,0.5,0.1,0.0,0.0,0.0,0.67,0.11,0.06,0.16,82,0.48,4.43,6.27,0.86,208.61,0.78,0.48,0.57,7.35,1.92,0.15,0.07,0.22,0.12,0.34,0.05,0.1,0.05,0.05,3.5,0.26,0.39,4,3,5,1,8,5,4,0,0,1,3,0,0,0,0,0,6,0
5.0,7,3,4,0,3,7,169,5.14,24.14,14,10,4,1,12,9,11,1,3,17.33,17.55,22.74,23.17,0.44,0.11,0.0,0.0,0.0,0.72,0.1,0.05,0.14,98,0.58,5.33,7.54,0.89,239.26,0.85,0.58,0.89,14.22,2.67,0.21,0.15,0.11,0.15,0.25,0.0,0.13,0.16,0.19,2.75,0.33,0.44,8,2,4,0,2,6,7,2,0,2,2,0,0,0,0,0,5,0
5.38,8,4,3,2,1,8,200,4.25,25.0,17,14,3,3,19,12,12,4,0,20.43,21.62,27.31,27.0,0.4,0.14,0.13,0.37,0.27,0.68,0.08,0.05,0.18,95,0.48,4.75,6.72,0.86,502.82,0.78,0.48,0.87,11.27,2.37,0.16,0.12,0.12,0.09,0.21,0.05,0.11,0.03,0.05,2.5,0.53,0.73,2,0,8,0,6,5,3,8,0,0,4,1,0,0,0,2,7,1
6.0,12,1,8,6,4,10,237,4.9,23.7,23,12,11,2,9,13,23,5,4,23.44,25.73,32.01,29.56,0.54,0.07,0.03,0.13,0.03,0.79,0.05,0.04,0.11,107,0.45,4.91,6.95,0.85,156.69,0.82,0.45,0.67,13.33,2.58,0.16,0.14,0.14,0.07,0.21,0.07,0.05,0.0,0.04,3.5,0.43,0.33,8,2,9,0,3,3,16,10,2,2,2,0,0,0,0,0,6,0
4.36,8,2,5,3,6,14,294,6.43,21.0,24,15,9,5,12,14,19,3,2,17.0,17.51,23.1,22.62,0.46,0.08,0.03,0.12,0.03,0.77,0.12,0.03,0.08,136,0.46,5.61,7.93,0.86,184.55,0.82,0.46,0.79,20.48,3.2,0.19,0.13,0.14,0.1,0.25,0.13,0.01,0.03,0.1,4.0,0.21,0.61,21,1,7,0,4,4,13,5,1,2,2,0,0,1,0,0,6,1
5.0,11,3,5,0,1,10,216,5.3,21.6,16,15,1,4,23,15,10,1,1,18.67,17.54,22.48,23.44,0.41,0.11,0.0,0.0,0.0,0.74,0.08,0.06,0.12,84,0.39,4.04,5.72,0.82,284.55,0.73,0.39,0.58,4.08,1.43,0.08,0.14,0.09,0.08,0.17,0.0,0.19,0.03,0.14,2.25,0.67,0.83,3,1,10,0,1,1,3,16,5,1,2,0,0,0,0,1,6,0
5.36,10,2,14,6,9,14,344,6.86,24.57,28,13,15,5,16,20,22,11,4,19.62,22.33,29.69,26.54,0.46,0.11,0.07,0.32,0.2,0.77,0.08,0.03,0.12,146,0.42,5.57,7.87,0.85,169.77,0.81,0.42,0.71,22.76,3.37,0.2,0.12,0.12,0.08,0.2,0.03,0.03,0.07,0.01,6.25,0.31,0.44,15,4,10,0,12,0,24,11,1,1,1,0,1,1,0,0,7,2
4.69,6,3,4,2,6,13,274,4.15,21.08,22,17,5,14,16,13,9,1,4,19.33,18.68,25.09,24.67,0.51,0.09,0.06,0.25,0.12,0.73,0.12,0.04,0.11,128,0.47,5.47,7.73,0.86,188.79,0.8,0.47,0.76,18.94,3.08,0.18,0.21,0.05,0.06,0.11,0.06,0.1,0.02,0.08,4.0,0.36,0.33,14,4,0,0,3,7,9,11,2,3,1,1,0,0,0,0,6,1
3.69,6,2,9,0,3,13,243,5.77,18.69,19,17,2,4,10,16,20,7,0,15.08,15.66,20.6,19.67,0.49,0.1,0.03,0.13,0.03,0.66,0.13,0.03,0.17,104,0.43,4.72,6.67,0.85,331.14,0.78,0.43,0.52,8.26,2.03,0.13,0.12,0.12,0.07,0.18,0.05,0.1,0.02,0.03,3.5,0.45,0.16,2,0,7,0,9,8,12,0,0,1,2,0,0,0,0,0,6,0
5.44,9,3,8,3,3,9,197,5.33,21.89,14,9,5,2,14,12,7,7,0,15.12,16.61,23.0,20.12,0.46,0.12,0.09,0.29,0.17,0.66,0.09,0.07,0.18,90,0.46,4.53,6.41,0.85,237.77,0.78,0.46,0.57,7.35,1.92,0.14,0.11,0.08,0.09,0.17,0.08,0.1,0.02,0.08,3.25,0.52,0.17,1,1,4,0,8,6,7,1,0,2,0,0,0,0,0,2,6,0
4.52,7,1,10,5,9,23,451,4.7,19.61,46,32,14,4,26,22,28,7,2,15.27,14.78,20.43,20.95,0.52,0.13,0.14,0.74,1.08,0.71,0.14,0.06,0.09,209,0.46,6.96,9.84,0.87,312.3,0.85,0.46,0.81,39.05,4.42,0.21,0.14,0.13,0.1,0.23,0.06,0.06,0.09,0.06,5.75,0.29,0.63,28,6,12,0,13,7,29,3,1,6,3,1,0,0,0,0,7,1
4.5,7,1,6,1,6,12,268,7.5,22.33,25,18,7,7,15,7,11,2,3,21.82,20.82,25.49,27.55,0.46,0.18,0.14,0.53,0.55,0.62,0.14,0.05,0.19,129,0.48,5.57,7.88,0.87,350.2,0.79,0.48,0.86,21.55,3.28,0.2,0.16,0.1,0.13,0.23,0.06,0.1,0.11,0.11,3.5,0.21,0.83,15,6,5,0,6,5,15,6,0,5,3,0,0,0,0,0,6,0
