4.89,30.36,24.42,30.0,24.62,24,13.5,1.778,1.0,0.25,0.125,0.25,0.25,0.125,0.25,0.312,1.778,2.222,4.444,0.222,0.667,0.222,0.444,2.0,7.22,216,4,2,4,9,16,16,0,5,20,40,2,6,2,4,18,3,8,70,
4.69,26.72,20.74,24.67,19.08,19.38,10.08,1.923,1.0,0.08,0.28,0.36,0.08,0.28,0.36,0.28,1.923,1.615,2.385,0.385,1.769,0.0,0.077,2.385,5.38,252,2,7,9,13,25,25,0,7,21,31,5,23,0,1,31,2,10,80,
4.1,18.29,14.24,18.78,15.11,16.3,11.643,1.4,1.077,0.308,0.154,0.231,0.286,0.143,0.214,0.143,1.3,1.5,2.9,0.5,0.5,0.2,0.2,1.3,6.5,163,4,2,3,10,14,13,1,2,15,29,5,5,2,2,13,3,6,56,
5.06,21.61,16.57,20.8,15.87,17.88,7.526,2.375,1.056,0.167,0.25,0.25,0.158,0.237,0.237,0.184,2.25,1.0,1.0,0.125,1.062,0.062,0.125,2.625,3.94,286,6,9,9,16,38,36,2,7,16,16,2,17,1,2,42,2,11,52,
3.82,21.35,16.98,22.0,18.1,17.91,10.944,1.636,1.0,0.0,0.0,0.167,0.0,0.0,0.167,0.222,1.636,2.364,3.909,0.818,0.0,0.0,0.0,1.0,4.36,197,0,0,3,11,18,18,0,4,26,43,9,0,0,0,11,2,7,78,
4.1,17.65,13.91,16.85,13.15,14.14,6.907,2.048,1.024,0.048,0.167,0.31,0.047,0.163,0.302,0.047,2.0,0.762,1.0,0.19,0.952,0.0,0.19,2.048,3.43,297,2,7,13,21,43,42,1,2,16,21,4,20,0,4,43,1,9,61,
3.79,21.12,17.58,21.85,18.46,16.5,12.833,1.286,1.0,0.0,0.056,0.111,0.0,0.056,0.111,0.5,1.286,1.857,2.286,0.357,0.071,0.0,0.0,0.929,4.93,231,0,1,2,14,18,18,0,9,26,32,5,1,0,0,13,2,7,64,
4.0,22.38,17.1,22.53,17.13,18.19,9.094,2.0,1.103,0.069,0.138,0.172,0.062,0.125,0.156,0.156,1.812,1.812,2.062,0.562,0.75,0.0,0.0,1.562,6.06,291,2,4,5,16,32,29,3,5,29,33,9,12,0,0,25,2,7,83,
6.27,32.22,24.07,32.86,25.79,26.27,10.368,2.533,1.0,0.237,0.105,0.447,0.237,0.105,0.447,0.263,2.533,1.733,3.067,0.4,1.867,0.067,0.067,3.8,8.67,394,9,4,17,15,38,38,0,10,26,46,6,28,1,1,57,3,10,107,
4.62,21.82,16.96,21.86,16.0,20.5,18.222,1.125,1.0,0.222,0.0,0.222,0.222,0.0,0.222,0.667,1.125,2.375,3.75,0.625,0.125,0.125,0.125,1.25,6,164,2,0,2,8,9,9,0,6,19,30,5,1,1,1,10,3,7,56,
5.5,29.29,21.86,30.14,23.0,24.88,15.308,1.625,1.0,0.154,0.385,0.0,0.154,0.385,0.0,0.308,1.625,2.625,5.25,0.375,0.5,0.0,0.125,1.75,6.88,199,2,5,0,8,13,13,0,4,21,42,3,4,0,1,14,2,10,70,
5.2,25.81,19.36,25.43,19.0,21.2,9.086,2.333,1.061,0.182,0.152,0.364,0.171,0.143,0.343,0.2,2.2,1.8,2.533,0.267,0.933,0.0,0.333,2.4,6.4,318,6,5,12,15,35,33,2,7,27,38,4,14,0,5,36,3,9,83,
4.8,29.24,23.13,30.56,25.0,24.7,14.529,1.7,1.133,0.267,0.2,0.067,0.235,0.176,0.059,0.471,1.5,2.2,3.6,0.3,0.0,0.2,0.0,1.2,9.4,247,4,3,1,10,17,15,2,8,22,36,3,0,2,0,12,4,7,63,
4.71,32.97,26.19,33.46,26.15,25.79,9.757,2.643,1.0,0.054,0.216,0.27,0.054,0.216,0.27,0.135,2.643,2.429,3.357,0.643,1.5,0.143,0.0,2.714,8.21,361,2,8,10,14,37,37,0,5,34,47,9,21,2,0,38,2,7,113,
