av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,corrected_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,corrected_ttr,lv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,million_mistake,class,sum_punct
4.46,9,2,2,2,6,13,282,4.23,21.69,30,20,10,8,11,9,19,0,4,19.75,20.85,26.6,25.08,0.46,0.07,0.0,0.76,0.13,0.01,0.1,139,5.85,0.49,3.13,0.18,0.14,0.14,0.13,0.27,0.03,0.1,0.05,0.07,4.0,0.48,0.78,16,2,10,0,0,4,18,14,4,3,2,0,6,2
5.0,8,2,5,5,14,15,327,7.93,21.8,31,11,20,9,8,15,13,4,4,17.79,17.83,23.42,23.5,0.41,0.11,0.34,0.76,0.13,0.04,0.07,154,6.02,0.47,3.67,0.24,0.15,0.11,0.08,0.19,0.04,0.01,0.04,0.04,5.0,0.26,0.82,23,3,9,0,11,4,22,9,1,2,3,0,7,1
4.26,8,2,4,5,8,19,355,6.89,18.68,36,22,14,6,17,22,25,3,3,15.5,15.01,19.2,20.67,0.46,0.1,0.45,0.76,0.09,0.03,0.12,169,6.34,0.48,3.8,0.21,0.15,0.16,0.09,0.25,0.04,0.04,0.07,0.03,4.5,0.4,0.62,17,4,7,0,7,5,20,18,4,4,1,0,6,2
4.57,7,2,4,2,10,14,328,5.71,23.43,34,21,13,12,11,11,30,2,1,19.31,20.91,26.97,24.77,0.51,0.11,0.53,0.7,0.11,0.01,0.17,150,5.86,0.46,2.63,0.12,0.11,0.17,0.15,0.32,0.04,0.15,0.1,0.07,3.25,0.45,0.83,12,4,15,0,2,3,14,2,1,4,4,0,8,2
4.75,8,0,9,5,5,16,335,6.25,20.94,25,15,10,8,18,17,17,2,8,17.2,17.06,23.33,23.53,0.48,0.09,0.11,0.76,0.07,0.01,0.16,139,5.37,0.41,3.13,0.18,0.14,0.12,0.07,0.19,0.04,0.04,0.06,0.04,2.75,0.18,0.55,26,3,3,0,8,5,17,3,0,1,1,0,6,1
3.56,5,2,0,0,6,9,176,7.89,19.56,11,7,4,6,9,12,13,0,0,17.75,17.67,23.03,22.88,0.43,0.09,0.18,0.67,0.08,0.07,0.18,90,4.8,0.51,2.56,0.18,0.12,0.17,0.08,0.25,0.08,0.15,0.03,0.08,5.25,0.47,0.47,4,4,3,0,3,4,8,7,1,1,2,0,7,0
4.33,7,3,5,0,3,9,211,9.56,23.44,16,13,3,4,10,16,10,4,3,20.12,18.56,23.46,25.38,0.36,0.2,0.0,0.6,0.09,0.03,0.28,97,4.72,0.46,2.23,0.17,0.11,0.15,0.11,0.25,0.0,0.0,0.0,0.07,4.75,0.18,0.94,9,1,6,0,7,6,10,2,0,0,6,0,6,0
4.25,6,0,0,0,6,8,236,9.5,29.5,18,12,6,8,15,14,7,0,1,26.86,26.15,31.43,31.57,0.36,0.16,0.81,0.61,0.1,0.01,0.28,101,4.65,0.43,2.6,0.19,0.1,0.12,0.12,0.24,0.05,0.08,0.05,0.03,5.0,0.37,0.68,9,2,6,0,3,4,7,4,0,0,5,0,7,0
7.0,11,4,1,1,4,4,170,6.25,42.5,6,1,5,4,14,6,10,2,0,43.67,43.33,53.89,56.33,0.41,0.16,0.5,0.68,0.11,0.04,0.18,93,5.04,0.55,2.0,0.11,0.16,0.17,0.1,0.27,0.05,0.12,0.0,0.0,3.5,0.12,0.88,2,3,4,0,4,1,4,2,0,0,6,0,6,0
4.31,9,1,3,4,7,16,277,4.75,17.31,23,11,12,9,13,9,16,2,2,17.27,17.13,21.48,21.4,0.45,0.21,0.51,0.65,0.12,0.01,0.22,132,5.61,0.48,3.05,0.19,0.16,0.1,0.1,0.21,0.01,0.05,0.08,0.01,4.25,0.32,0.48,13,5,3,0,4,6,16,6,1,4,6,0,6,1
